V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
0.919012,0.787855,0.809517,0.429154,0.762201,0.248677,0.249897,0.800314,0.367355,0.451365,0.475697,0.594895,0.402257,0.501833,0.365462,0.413074,0.6489,0.652135,0.595876,0.581617,0.569817,0.508396,0.658525,0.425381,0.580406,0.454498,0.421331,0.310216,0.0,1.0
0.906588,0.733944,0.856275,0.353384,0.77487,0.252314,0.267339,0.784658,0.453446,0.491372,0.260633,0.685229,0.500697,0.589161,0.485889,0.470557,0.748555,0.771954,0.585442,0.60265,0.572146,0.530346,0.685868,0.342644,0.593612,0.401704,0.411845,0.31385,0.020591,1.0
0.919163,0.785821,0.83118,0.355228,0.760185,0.262258,0.268781,0.781104,0.454573,0.477162,0.406174,0.45694,0.450106,0.596623,0.284085,0.376774,0.592189,0.473395,0.459106,0.575687,0.556737,0.466535,0.667999,0.370466,0.569143,0.336811,0.417241,0.310018,0.009339,1.0
0.883578,0.781591,0.792483,0.370723,0.758122,0.245862,0.244056,0.782717,0.454245,0.409378,0.576421,0.292887,0.462603,0.418385,0.33578,0.215353,0.36507,0.300361,0.587393,0.578438,0.570726,0.518287,0.658956,0.375025,0.592075,0.318049,0.401244,0.330364,0.002297,1.0
0.979262,0.799121,0.762821,0.461731,0.790114,0.249369,0.275794,0.780061,0.418588,0.458085,0.410244,0.530455,0.561684,0.441644,0.310967,0.531459,0.926949,0.862545,0.350761,0.580362,0.555369,0.477181,0.655679,0.162235,0.661482,0.518034,0.416326,0.316103,3.9e-05,1.0
0.958437,0.810919,0.729271,0.54786,0.770889,0.229308,0.255415,0.787044,0.366466,0.380697,0.622123,0.332775,0.424631,0.286578,0.288595,0.384414,0.698324,0.661301,0.412234,0.585465,0.567356,0.481665,0.657421,0.399609,0.661459,0.508423,0.430093,0.323546,3.9e-05,1.0
0.958749,0.810862,0.723728,0.533356,0.774668,0.237749,0.255065,0.788638,0.354633,0.383644,0.686955,0.366934,0.502727,0.285143,0.233199,0.39723,0.680388,0.706714,0.45966,0.586523,0.567452,0.483126,0.655489,0.279837,0.668002,0.513767,0.430115,0.323203,3.9e-05,1.0
0.963893,0.806435,0.737325,0.521375,0.776941,0.238687,0.260403,0.786813,0.386501,0.402492,0.556493,0.369739,0.3866,0.337485,0.317113,0.421631,0.769281,0.706519,0.378191,0.583138,0.564004,0.479594,0.657242,0.285683,0.657374,0.51615,0.426303,0.321332,3.9e-05,1.0
0.96367,0.80745,0.740111,0.520008,0.776178,0.236363,0.260807,0.785982,0.370504,0.406112,0.668189,0.420758,0.478237,0.334958,0.23427,0.433376,0.753922,0.756065,0.422125,0.5844,0.564846,0.486158,0.656763,0.35261,0.660688,0.505684,0.426088,0.321292,3.9e-05,1.0
0.970622,0.791536,0.745053,0.429587,0.754067,0.245604,0.241178,0.796796,0.446035,0.413033,0.617624,0.434774,0.578409,0.437242,0.373353,0.334881,0.59078,0.60865,0.73903,0.585639,0.570985,0.515141,0.67436,0.333091,0.47445,0.482932,0.427485,0.31514,3.9e-05,1.0
0.970232,0.792861,0.746707,0.447717,0.751103,0.2362,0.24173,0.795161,0.457055,0.405082,0.563332,0.39637,0.49776,0.418646,0.433277,0.328132,0.62205,0.581133,0.684684,0.584766,0.570365,0.509574,0.676151,0.446004,0.467926,0.477634,0.427595,0.315748,3.9e-05,1.0
0.975688,0.788377,0.754761,0.421232,0.757155,0.245579,0.246718,0.79493,0.477089,0.426878,0.497701,0.433334,0.459728,0.469553,0.461794,0.365349,0.693007,0.626351,0.650642,0.582439,0.567013,0.507503,0.675973,0.332078,0.463841,0.485361,0.423805,0.313534,3.9e-05,1.0
0.931358,0.801673,0.765718,0.356418,0.756258,0.244124,0.24395,0.801643,0.421195,0.379731,0.609419,0.427784,0.553696,0.423867,0.300364,0.366589,0.590641,0.615257,0.590799,0.583629,0.569565,0.48452,0.664296,0.324891,0.584847,0.478044,0.421384,0.315819,3.9e-05,1.0
0.927999,0.803163,0.771171,0.368311,0.752411,0.235555,0.244456,0.800545,0.436016,0.380449,0.544956,0.393503,0.475095,0.424456,0.356181,0.353042,0.608674,0.569824,0.542588,0.584142,0.568799,0.483089,0.666116,0.444448,0.580385,0.475385,0.426312,0.31807,3.9e-05,1.0
0.972859,0.810455,0.708768,0.57909,0.772269,0.235564,0.256239,0.79121,0.381786,0.427117,0.663195,0.428687,0.506266,0.341492,0.287814,0.415225,0.775426,0.779247,0.556308,0.585411,0.567525,0.516814,0.669007,0.350615,0.5215,0.496641,0.427924,0.316137,3.9e-05,1.0
0.927488,0.819149,0.734722,0.504673,0.773824,0.232504,0.254917,0.791406,0.332002,0.354484,0.724622,0.309379,0.418969,0.251423,0.18031,0.371681,0.628402,0.662258,0.401552,0.586405,0.571404,0.491071,0.654488,0.344553,0.640032,0.478354,0.433026,0.324681,3.9e-05,1.0
