,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
0,44,2,2,1,2,1,1,6,4,210,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
1,53,10,2,8,1,1,1,9,5,138,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
2,28,5,1,7,2,1,1,4,4,339,3,6,2,1,-1.7,94.055,-39.8,0.729,4991.6,1
3,39,8,2,4,1,1,1,2,5,185,2,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
4,55,6,2,1,2,1,1,6,5,137,1,3,1,1,-2.9,92.201,-31.4,0.869,5076.2,1
5,30,5,3,1,2,1,1,5,2,68,8,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
6,37,2,2,1,2,1,1,3,4,204,1,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
7,39,2,3,3,2,1,1,3,5,191,1,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,0
8,36,1,2,7,1,1,1,4,1,174,1,3,1,1,-2.9,92.963,-40.8,1.266,5076.2,1
9,27,2,1,1,2,1,1,2,4,191,2,999,1,2,-1.8,93.075,-47.1,1.41,5099.1,0
10,34,4,1,7,1,1,2,3,5,62,2,999,0,3,1.1,93.994,-36.4,4.864,5191.0,0
11,41,5,2,7,2,1,1,6,4,789,1,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
12,55,5,2,7,1,1,1,6,1,372,3,999,0,3,1.4,93.444,-36.1,4.965,5228.1,1
13,33,8,3,4,2,1,1,3,2,75,5,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,0
14,26,1,2,4,1,2,2,4,1,1021,1,999,0,3,1.4,94.465,-41.8,4.96,5228.1,0
15,52,8,2,4,2,1,1,5,4,117,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
16,35,8,2,4,1,1,1,2,4,1034,2,999,0,3,-1.8,93.075,-47.1,1.365,5099.1,1
17,27,1,1,7,1,1,2,8,2,540,1,999,0,3,-0.1,93.798,-40.4,4.86,5195.8,1
18,28,2,2,3,1,1,2,3,4,140,1,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
19,26,11,1,3,2,2,1,5,1,104,4,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
20,41,11,2,3,2,1,2,2,5,246,1,999,1,2,-1.8,93.075,-47.1,1.405,5099.1,0
21,35,2,1,8,1,2,2,4,5,1114,1,999,0,3,1.4,94.465,-41.8,4.967,5228.1,0
22,40,1,2,7,2,1,2,5,3,340,1,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
23,32,10,1,6,1,1,1,5,4,35,1,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
24,41,2,2,4,2,2,1,5,4,241,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
25,34,3,1,7,2,1,1,3,2,168,2,999,0,3,-1.8,92.893,-46.2,1.344,5099.1,0
26,49,10,3,8,2,2,1,8,4,81,1,999,0,3,-3.4,92.431,-26.9,0.754,5017.5,0
27,37,1,2,4,2,1,1,2,4,226,1,2,1,1,-1.8,93.075,-47.1,1.365,5099.1,0
28,35,2,2,2,2,1,1,3,5,746,2,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,0
29,38,2,1,1,1,1,2,5,2,41,5,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
