,NEG_01_NEG_binarized,NEG_03_NEG_binarized,NEG_04_NEG_binarized,NEG_05_NEG_binarized,NEG_06_NEG_binarized,NEG_07_NEG_binarized,NEG_03_POS_binarized,NEG_04_POS_binarized,NEG_05_POS_binarized,NEG_06_POS_binarized,NEG_01_HBD_binarized,NEG_04_HBD_binarized,NEG_07_HBD_binarized,NEG_04_HBA_binarized,NEG_05_HBA_binarized,NEG_06_HBA_binarized,NEG_07_HBA_binarized,NEG_02_ARC_binarized,NEG_03_ARC_binarized,NEG_04_ARC_binarized,NEG_05_ARC_binarized,NEG_06_ARC_binarized,NEG_07_ARC_binarized,NEG_02_HYP_binarized,NEG_03_HYP_binarized,NEG_04_HYP_binarized,NEG_05_HYP_binarized,NEG_06_HYP_binarized,NEG_07_HYP_binarized,POS_03_POS_binarized,POS_04_POS_binarized,POS_05_POS_binarized,POS_07_POS_binarized,POS_03_HBD_binarized,POS_04_HBD_binarized,POS_05_HBD_binarized,POS_06_HBD_binarized,POS_07_HBD_binarized,POS_03_HBA_binarized,POS_04_HBA_binarized,POS_05_HBA_binarized,POS_06_HBA_binarized,POS_07_HBA_binarized,POS_02_ARC_binarized,POS_03_ARC_binarized,POS_04_ARC_binarized,POS_05_ARC_binarized,POS_06_ARC_binarized,POS_07_ARC_binarized,POS_02_HYP_binarized,POS_03_HYP_binarized,POS_04_HYP_binarized,POS_05_HYP_binarized,POS_06_HYP_binarized,POS_07_HYP_binarized,HBD_04_HBD_binarized,HBD_05_HBD_binarized,HBD_06_HBD_binarized,HBD_07_HBD_binarized,HBD_03_HBA_binarized,HBD_04_HBA_binarized,HBD_05_HBA_binarized,HBD_06_HBA_binarized,HBD_07_HBA_binarized,HBD_02_ARC_binarized,HBD_03_ARC_binarized,HBD_04_ARC_binarized,HBD_05_ARC_binarized,HBD_06_ARC_binarized,HBD_07_ARC_binarized,HBD_02_HYP_binarized,HBD_03_HYP_binarized,HBD_04_HYP_binarized,HBD_05_HYP_binarized,HBD_06_HYP_binarized,HBD_07_HYP_binarized,HBA_03_HBA_binarized,HBA_04_HBA_binarized,HBA_05_HBA_binarized,HBA_06_HBA_binarized,HBA_07_HBA_binarized,HBA_03_ARC_binarized,HBA_04_ARC_binarized,HBA_05_ARC_binarized,HBA_06_ARC_binarized,HBA_07_ARC_binarized,HBA_02_HYP_binarized,HBA_03_HYP_binarized,HBA_04_HYP_binarized,HBA_05_HYP_binarized,HBA_06_HYP_binarized,HBA_07_HYP_binarized,ARC_01_ARC_binarized,ARC_02_ARC_binarized,ARC_03_ARC_binarized,ARC_04_ARC_binarized,ARC_05_ARC_binarized,ARC_06_ARC_binarized,ARC_07_ARC_binarized,ARC_02_HYP_binarized,ARC_03_HYP_binarized,ARC_04_HYP_binarized,ARC_05_HYP_binarized,ARC_06_HYP_binarized,ARC_07_HYP_binarized,HYP_01_HYP_binarized,HYP_02_HYP_binarized,HYP_03_HYP_binarized,HYP_04_HYP_binarized,HYP_05_HYP_binarized,HYP_06_HYP_binarized,HYP_07_HYP_binarized,BBB_binarized,BadGroup,Outcome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,Inactive
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inactive
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Inactive
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,Inactive
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Inactive
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Inactive
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inactive
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Inactive
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Inactive
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inactive
