,name,qualification,specialization,clinic_address,timing_days,timing_session,review_score,consultation_fee,current_url,feedbacks

0,Dr. B. Ramesh,"DM - Cardiology, MD - General Medicine, MBBS","Cardiologist, Interventional Cardiologist
36 Years Experience Overall  (32 years as specialist)","154/11, Bannerghatta Road, Amalodbhavi Nagar, Panduranga Nagar, Landmark: Opposite IIM, Bangalore",Mon - Sat,10:00 AM - 02:00 PM,98% (983 votes),₹1000,https://www.practo.com/bangalore/doctor/dr-ramesh-21-cardiologist?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing,"['I recommend the doctorIn short, i can say that Dr.B. Ramesh is a living god on earth who helped me to recover from problems related to heart.I surely recommend this doctor for patients suffering from heart problems.He is very down to earth and makes patients feel very much comfortable during his consultation.Not like other diagnostic places, here this Doctor sits along with the Radiologist in order to diagnose the problems. This is a great advantage in his clinic.He gives huge hopes which are more necessary for recovery instead of actual medicines.Let me explain my story.. I had suffered from palpitations and breathlessness and i was wrongly diagnosed with ""Rheumatic heart disease"" by a big hospital in Bangalore. Because of this shock i could\'nt sleep for 15 days and also the palpitations used to occur frequently. Thanks to Practo.com from where i could get the contact of Dr.B.Ramesh.I have been under the care of this doctor from past 3 months and i have almost recovered from my health problems. This doctor has huge experience and he has got the knack of diagnosing patients just with Stethoscope. He initially diagnosed me just with his stethoscope and said to me ""You don\'t have Rheumatic heart disease :) "". These words bought me great relief, self confidence and made me very happy. Then later i was taken to ECO scan room and the doctor explained me clearly what the exact issue is and what is causing all the palpitations and breathlessness symptoms.I have huge confidence on this doctor and i feel myself that nothing bad is going to happen to me since Dr.B.Ramesh is always there for me to take care of my health.I am now back to my normal activities and i am able to concentrate more on my work.Doctor has given me the confidence that i can eat anything, i can go for trekking, and as usual continue with my normal day to day activities.Many times i have visited his clinic and many times he has advised his receptionist not to collect fees from me.My hats off to his dedication and service to mankind. Long live this doctor so that many suffering patients can be cured.', ""Visited For ConsultationI recommend the doctor*** ****** ** ** ********* ****** *** a wonderful human being. We visited him to get a second opinion for my father's cardiac health. He had undergone ECG, ECHO and TMT tests wherein the previous doctor had suspected a blockage in heart and recommended to perform angiogram test followed by angioplasty. We were extremely tensed as my father is a very active person and we did not expect something like this to show up suddenly hence we thought of having a second opinion by one of the leading cardiologists in Bangalore i.e. Dr. Ramesh and no doubt whatsoever when people term him as a Living God. He is extremely down to earth and very humble in nature. He listens to you very patiently and examines you carefully. He checked my father using his stethoscope and went through his reports stating Sir, you are absolutely fine and you do not require my services.. these words were so reassuring for all of us and we were left teary eyed but these tears were of joy and happiness as doctor mentioned that no further tests or surgery is required and that my father can carry on with his regular routine. I am very glad that I was able to find out Dr.Ramesh through Practo and hence my special thanks to the Practo team."", 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionWonderful Doctor! Dr. Ramesh received me well and heard my problem patiently. I was getting chest pain in the left side, which has been persistent from 6 months now. He reviewed my previous test reports and then started his diagnosis.Based on physical examination, ECG, TMT test and also considering my previous test reports he mentioned to me that I have no heart related issues and I must not unnecessarily worry about the pain I am getting. The root cause of my chest pain was not established in this consultation, but he being a cardiologist, assured me that the pain I am getting is not related to heart, which I was more concerned about. He made me comfortable, provided me with much needed confidence that I have no heart related issues. He advised me to think positively, eat healthy and do regular exercise.Overall, it was a very nice experience at his clinic. I would like to express my sincere thanks to Dr. Ramesh, THANK YOU Sir.I will recommend Dr.Ramesh for anyone who needs cardiology consultation.', 'Visited For Hypertrophic CardiomyopathyI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for money****** * ****** ** *** ** *** **** ************ ** *** ******** His attitude and humbleness is above all. He is very down to earth. My father was suffering from breathlessness and was under treatment under various other doctors but with no improvement.He was suffering from Hypertrophic obstructive cardiomyopathy. Doctor Ramesh very well explained us the problem by drawing the diagram of heart on a paper and helped us understand the various treatment options available. He also encouraged us to enlighten ourselves by reading the pros and cons of one of the surgery option available to us (Alcohol Septal Ablation). There was an other surgery option as well but that was a major open heart surgery. So we stick to Alcohol Septal Ablation as the doctor suggested my father will benefit from it. He carefully performed surgery on my father which significantly reduced the muscle thickness (LVOT Gradient) and the symptoms. Now my father is feeling very well.I would suggest everyone reading my review that Doctor B Ramesh is a really very good doctor with huge experience and you must visit him for your cardiac issues. He is professor and various doctors work under him to learn. I also went to him by reading various online reviews as well as on suggestion of my friend.', 'Visited For Heart ConditionsI do not recommend the doctorHoped for better: Doctor friendlinessExplanation of the health issueTreatment satisfactionVery bad experience,not at all expected from a institution like this, let me give a short brief which might help others too as I too check review before taking the appointment through practo. So my problem is with Dr Ramesh Lady assistant and partially with the respected doctor too. I went with my dad inside the cabin at that moment some emergency come up so doctor left for emergency Ward(I was not knowing, assistant told me later) ,so mean while lady assistance asked me required question I gave all the answers politely ,then she told us to go and do ECG and ECO and come back, I said ma\'am we are here for consultation as after putting stent I wanted him(dad) to see a doctor because there are some issues he is facing like cough and allergies nothing else.also now onwards whether we go to General physician for regular checkup or not. can we see the doctor and then we plan accordingly. Rudely, she told ""OK go and wait out side"" doctor will come later as he is occupied, I asked ""how long I have to wait ma\'am"", ""need time "" her answer. I asked can u be specific as, if my dad case is not a cardio problem then I need to see general physicia too. Then she said ""OK wait for 15-20 min I\'ll call you.Doctor came, he asked what is the issue patient facing ? Told all of them whatever I said to Lady assist, then they did whatever they need to, then while Leaving Dr. Ramesh said "" don\'t be restless we have lot of other patients to check"", so told him clearly ""what so ever been communicated to you was wrongly misinterpreted, I never asked I want to meet doctor immediately, I clearly said I can wait if I know how long I have to"".Now tell me someone when I was restless and when did I said I want to meet Doc asap.As he is very senior doc, I don\'t want to create any nuisance, didn\'t say anything further and left.** ******* ******** *** *** ****** **** **** ***** ***** *** ** **** * ****', ""Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionFirst of all, Doctor allowed me to tell my version and he explained why my situation was not a problematic one his explanation convinces me and he gave me his expert opinion on the prescription of the other doctor's recommendation which helped me a lot get rid of my doubts. Thanks a lot to him and I highly recommend him to benefit from his vast experience in this field."", 'Visited For Dilated CardiomyopathyPacemaker ImplantationI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeRamesh Sir is the most friendly n caring doctor I have ever met, he gave me a new life. I was diagnosed with Dilated cardiomyopathy, he assured me that things would be alright & there’s no need to worry. Sir implanted pacemaker for me with his magical hands sucessfully. He comforted me like his daughter and personally ensured to check if everything was going smoothly throughout my stay in hospital. I’mGlad I met Ramesh Sir n had a wonderful experience. He is my god! Thanks from the bottom of my heart Sir🙏. May god bless a wonderful soul like you. May you help many more lives like mine.', ""Visited For Heart CareI recommend the doctorA very good and friendly doctor. We visited him because my mom in law's TMT at a health clinic had come in positive. Usually, the next step after this is a detailed angiogram. However, by physical examination, doctor had doubts on the accuracy of TMT reports and he requested a re-test at his clinic. The TMT came negative and we were saved from an unnecessary procedure.Incidentally, my TMT was also positive and he immediately dismissed the report. He did not even charge for my consultation. Only my mom-in-law's consultation was charged. We had very good experience and I will highly recommend the doctor."", ""Visited For AngiogramI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueI visited for second consultation for my father who was advised to go Angiogram asap by two doctors . Doctor helped me in understanding to focus on my father's health first as he is diabetic and his sugar level were fluctuating and had iron and haemoglobin deficiency and then go for an angiogram. He explained it so nicely and was so friendly in attitude and behavior and helped me to focus on improving moly fathers health first and then go for an angiogram after 6 months. We were so relieved and had joyful tears in eyes. Never going to consult any other doctor ever. Highly recommend him."", 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr Ramesh was friendly and explained about the illness. Though consult was for second opinion on Heart surgery, he made me understand why the operation cannot be done or what other process can be held for curing the disease.never delay in consulting Mr Ramesh. Mistake I did was consulted many doctors in Bangalore who say they are the experts (agreed) however they never bothered to take care of feelings of attendees, In this matter I rate Mr Ramesh as Masterful as he takes care of both Patient and attendee. Salute to Ramesh Sir.']"

1,Dr. Jayaranganath M,"MBBS, MD - General Medicine, DM - Cardiology","Cardiologist
34 Years Experience Overall  (26 years as specialist)","New Number 1, Old Number 28, Platform Road, Landmark: Near Mantri Mall, Bangalore",Mon - Fri,04:00 PM - 06:00 PM,91% (22 votes),₹740,https://www.practo.com/bangalore/doctor/dr-jayaranganath-m-cardiologist?practice_id=1055989&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Heart ConditionsI recommend the doctorExcellent experience, everything was more than expected.Doctor did his best to satisfy me. I am happy', 'Visited For Cardiovascular ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr Jaya Ranganath along with Dr Sudeep K N have taken the highest care of my mother at Apollo Seshadripuram. Having seen the highest complication and very low survival possibilities, they have done a miraculous job of reviving my mothers heart condition, bringing it to stability and ensure the right attention and treatment is giving at every stage of the process. Words fall short of such a wonderful treatment given and definitely recommend them very very strongly.', 'Visited For ASD / VSD Device ClosureI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeHighly recommend for Pediatric Cardiology ,He listens to our concerns , He diagonised very quickly , advised correctly and a very confident Doctor , seeing his confidence i was well assured that our baby was in the safe hands. I consulted many other doctors and finally came back to him .', 'Visited For Preventive Health Check UpsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeFantastic Doctor, listens to patients truly and correctly rated No 1 in Bengaluru. Zero wait time friendly reception and nursing staff. 2 procedures completed in 30 minutes well handled. Very good Hospital.', 'Visited For HypertensionI do not recommend the doctorHoped for better: Wait timeI had appointment at 4:30 PM at Apollo Seshadripuram, Bangalore. I got a call from Apollo at around 10AM asking me to come at 1PM. When I reached there by 1PM, I was made to wait for 45 mins before telling me that doctor is in OT. There was no other patient.', ""I recommend the doctorWhen I go with a baby, obviously it is difficult to wait longer. So the waiting period should be cut down. The consultation was quick but it took a lot of time for Echo test. I visit there once in a year for my child's annual check up and have experienced good service at the hospital. I am very happy with the doctor too. He is excellent and genial."", 'Visited For Coronary Angioplasty / Bypass SurgeryI recommend the doctorHappy with: Wait timeA great doctor. *** ********* *** ******** explains the issues very well, and is quite conservative.', 'Visited For Coronary Angioplasty / Bypass SurgeryI recommend the doctorHappy with: Explanation of the health issueDoctor friendlinessTreatment satisfactionHe is the real god for our family dr saved my brother now he is fine heartly thankfull to the GOD JAYARANGANATH', 'Visited For Hypertension TreatmentI recommend the doctorHappy with: Value for moneyDoctor has patience and will answer all the doubts we have. I would recommend this doctor for all the heart problems.', 'Visited For Congenital Birth Defects in the Heart CorrectionI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionDr. Jayaranganth is a very friendly doctor. Understands concerns of families . He is Extremely reassuring for families when they are going through troubled times. We felt relieved after our kid was seen by this doctor.']"

2,Dr. Nataraja Setty,"MBBS, MD - General Medicine, DM - Cardiology","Cardiologist, Interventional Cardiologist
19 Years Experience Overall  (8 years as specialist)","Number-718, Hansa Plaza,1st Floor, 24th Main Road, Landmark: Next to Nandhini Hotel, Bangalore","Mon, Wed - Sat",04:00 PM - 09:00 PM,99% (184 votes),₹700,https://www.practo.com/bangalore/doctor/dr-natraj-shetty-cardiologist?practice_id=1333412&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Cardiac DiseasesI recommend the doctorHe is really a gem of person ,never seen such kind hearted doctor in my life time . I took one of my friends mother for 2nd opinion after hearing their financial issues he immediately arranged angiography in Jayadeva hospital and subsequently done Angioplasty even.And he didn’t even charge single rupees even thought we insisted to take consultation fees.These days very tough to get these kind of service minded doctors.May god bless himDr. Nataraja Setty repliedThank you so much for u r valuable feedback.', 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeVisited doctor natraj for blood pressure issues I was very much happy with doctor and the staffs as well the clinic ambience is very good and the doctor is too patient and friendly he listens to the concerns and does not put unnecessary medicationsI would like to recommend the doctor for all my family and friendsDr. Nataraja Setty repliedThank you', ""Visited For Hypertension TreatmentI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeVery good experience with staffs and doctor it was not like experiencing the clinic it was too easy and had no confusion doctor s too friendly and doesn't add on unnecessary medications I would love to recommend family and friendsDr. Nataraja Setty repliedThank for u r valuable feedback."", 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionVisited for regular check up doctor suggested for few investigations. He gives very good life style modifications happy with the treatment.Dr. Nataraja Setty repliedThank you.', 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyMost friendly doctor and very experienced doctor, he spend quality time with the patients. Suggest only the necessary medicines long with the good life style modifications . Im very satisfied with the dr treatment i would definately recommend for all cardioc issues.Dr. Nataraja Setty repliedThank you for u r valuable feedback.', 'Visited For Carotid Angioplasty And StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeAs mentioned took my father for cardiac issues and doctor suggested to go for angiography later we moved forward to angioplasty from the start doctor took very much care and treated us very well I would like to recommend the doctor for family and friendsDr. Nataraja Setty repliedThank you for u r valuable feedback.', 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionWonderful doctor with more knowledge and experience. The way they treatment the patient is very good and he makes the patient very comfortable while consultation.Even the clinic staff are so good. He prescribe only the necessary medicines. I would definitely recommend this Dr.Dr. Nataraja Setty repliedThank you .', ""Visited For Angioplasty and StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyLast from 3years I'm taking consultation with the Dr.Natraj sir he so friendly in nature and most experienced doctor. I'm very much satisfied with the doctor treatment. Dr will prescribe only the necessary medicines and he will advice always a good life style modification. Totally I'm very much happy and clinic staff always very helpful to the patients. I would definitely recommend the sapphire heart care clinic for cardio treatment.Dr. Nataraja Setty repliedThank you Mr.Gururaj for u r valuable feedback."", 'Visited For Treadmill Test - TMTI recommend the doctorHappy with: Doctor friendlinessHe is a very friendly doctor.good in nature and treated well. He explained it very well and gave quality treatmentDr. Nataraja Setty repliedThank you.', 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyVery much satisfied with the dr. treatment and I would refer my family and friends for all cardiac issues.Dr. Nataraja Setty repliedThank you.']"

3,Dr. Govardhan Reddy K,"MBBS, DNB - Cardiothoracic Surgery","Cardiothoracic Surgeon, Cardiac Surgeon, Cardiologist
17 Years Experience Overall  (4 years as specialist)","28/1, 15th Main, 1st Cross, Bangalore",Mon - Sun,"02:30 PM - 04:00 PM
04:30 PM - 07:30 PM",100% (18 votes),₹600,https://www.practo.com/bangalore/doctor/dr-govardhan-reddy-k-cardiothoracic-surgeon-cardiothoracic-surgeon?practice_id=1303462&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Heart ConditionsI recommend the doctor*** ** *** **** ****** ** *** **** * So calm and listens and explained my fathers heart issue . Very good experience', 'Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeThe campus is pretty clean and decent . It’s a new clinic . Small pharmacy is also there . Doctor heard my mother in greater detail . She spoke to him in mother tongue . Doctor checked throughly, gave medical advice and asked to avoid certain tests ( though I suggested to write) as they are not needed and gave his personal number in case of emergency . Doctor’s residence is just behind the clinic. So, he said he can attend asap. Doctor Govardhan ( cardiac surgeon at Narayana hrudayalaya) is very friendly and extremely knowledgeable person . I feel much better after 1 week of using the meds and following his advice . My mother had her ECG done there and the doctors wife also spoke to me . She handles gynaecology ( at Rainbow hospitals) and she gave good advice for my mother though I didn’t take Gynic consultation . Happy to choose this clinic and would be my family docs going forward . Online payments accepted and the whole process is seamless.Thanks a ton ans Best wishes to the Docs .Dr. Govardhan Reddy K repliedThank you', 'I recommend the doctorExcellent Guidance given in most professional manner. You are very cooperative and helpful. God Bless you.', 'I recommend the doctorHaving undergone a regular master health check up (including a TMT test) The results consisted of a certain ambiguity and I was in complete stress. During this time, we visited Dr. Govardhan and he spent a considerable amount of time taking us through complete functioning details of the heart with requisite films etc. He recommended that I take another test which would clear all my anxiety. Well it didn’t disappoint and I am now leading a happy and healthy life.Dr. Govardhan is very humble & professional practitioner who invests his quality time to detail the potential health issues with possible solutions. He is approachable and available at any given time either through phone or whatsapp. Mother and heart care clinic has all the facilities and most of the basic investigations are carried out here saving us the hassle of going around which in my opinion saves a lot of time and effort.Dr. Govardhan Reddy K repliedThank you sor', 'I recommend the doctor****** ** **** ****. Understood my situation and gave me best advice. Doctor Talks very politely and is very humble.', ""I recommend the doctorWhen I consulted Doctor Sir with regard to my Wife's Health issues, he explained the health issue to the core and made us Tension Free. Doctor Sir is Highly Talented and his domain expertise on Cardiovascular diseases is really awesome. Above all, Doctor Sir is very much approachable and Simple. Hence, I strongly recommend him for consultation on the above subject.Dr. Govardhan Reddy K repliedThank you sir"", 'I recommend the doctorHe was very proactive & guided us in a very simple and easy to go way, otherwise the problem could have possibly given a fatality', 'I recommend the doctorExplained the problem very clearlyAnswered all the questions without hesitateI recommendthank you', ""I recommend the doctorhe didn't panic me when I complained him about my tachycardia... he explained to me very quietly for all my questions which I asked out of anxiety 😃 Thank you 🙏Dr. Govardhan Reddy K repliedThank you"", ""I recommend the doctorvery friendly, listens everything and explain in very lucid manner... I'm very much satisfied and happyDr. Govardhan Reddy K repliedThank you""]"

4,Dr. K P Srihari Das,"MBBS, MD - General Medicine, DM - Cardiology","Interventional Cardiologist, Cardiologist
28 Years Experience Overall  (18 years as specialist)","45/1, 45th Cross, Marenahalli Road, Phase II, Landmark: Next To Big Bazar & Opposite To Bangalore Central, Bangalore","Mon - Thu, Sat",09:00 AM - 04:00 PM,98% (61 votes),₹750,https://www.practo.com/bangalore/doctor/dr-k-p-srihari-das-cardiologist-1?practice_id=1041383&specialization=Cardiologist&referrer=doctor_listing,"['Visited For Coronary Artery DiseaseHeart AttackBlocked Blood VesselsPort Access Valve SurgeryI recommend the doctorHappy with: Doctor friendlinessNeed to speak to him now very important got a lot of going on and end I need to speak soon i thanks you in advance', 'Visited For Hypertension TreatmentI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeI got high BP in my early 30s and have been on BP medication since then. Being an otherwise athletic person, the fact that I had to take daily pills did not sit well with me. Most of my previous doctors in India, US and UK, had a very matter of fact approach, and to a young hypertension patient who loved to have a good life, it caused a lot of anxiety. 5 years back I consulted Dr Srihari Das. He has been very kind and patient and we have been working together to gradually bring down the daily dosage, and it has worked very well. He asks for further investigations like ECG and Echo only when really necessary and explains very well in layman terms for my understanding, whether the combination of medicine and daily diet and exercise routine has been working for the heart. We have also met him for my Mom’s regular check-up. She is in her mid-70s and still operates without any medication of any kind.I will highly recommend Dr Das for any Cardiology related issues. He has an excellent clinic in Jayanagar where you can meet him if you cannot make it during the day time at the hospital.', 'I recommend the doctorHappy with: Doctor friendlinessTreatment satisfactionFew weeks back, one Sunday I felt some discomfort and pain in my heart. Thinking it was Gastritis, I went to a nearby hospital for a checkup. There, they have taken an ECG and that doctor suggested me to go other hospital for further treatment. I chose to go to Manipal hospital, Jayanagar as it was close by. Though it was a complete lockdown, the initial formalities took some time and I was taken inside. After checking my ECG report, I was diagnosed with major heart attack. Immediately, Cardiology team jumped into action and within no time block was treated with Angioplasty.** ****** ** * ******* *** ** *** ******* I believe those words after my life was saved by Dr.Srihari Das and his team. He did a constant followup till the time I get discharged. During my next review, he recognised my name instantly (inspite of treating multiple patients) and started discussing with me about my health. I would like to thank the entire cardio team and other members who took care of me during the hospital stay. I would personally recommend Dr.Srihari Das.', ""I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeMy experience with the doctor is amazing. He is very professional ,compassionate. He is so friendly and explains about our condition in a very simple way.He spends lot of time with his patients and listens to them patiently.I had a sever Virtigo problem and consulted him. He patiently listened to the symptoms and diagonised it as Virtigo . It was so sever that I was scared that it would be any other serious problem as I was not aware that it was Virtigo. He gave me confidence and cheered me up. Dr.Srihari doesn't suggest tests unless it is actually required and doesn’t prescribe excess medicines.He gets connected with his patients and my experience with him is, any doubt, I drop him a Whatsapp message and he promptly responds to it in-spite of his busy schedule. Usually after the treatment, it is the patient who follows-up with the Doctor. But with Dr.Srihari, he takes too much care in his patients that he regularly follows up on how they are doing. I had taken my mother to him for her high BP. Every now and then, he keeps checking with me on her health. He is such a caring person. Half of the ailment gets cured by the amount of care he shows.Thank you so much Dr. I am so lucky that I know you."", ""I recommend the doctorDr. Srihari is the best cardiologist. Why I'm say so because of my personal experience. What does a person expects if he's consulting a doctor- First the doctor to listen calmly, Second to initiate diagnosis immediately, Third to suggest treatment options explaining risks and benefits, Fourth to understand patient's pain and financial limitations and be cooperative and finally keeping patient informed of the health condition and progress. I found this all while my father was undergoing treatment under him. Apart from this:1. He's Expert in his field. He identified heart problem from looking into my father's ECG, while other doctors said its normal. My father was discharged in 24hrs.2. He's Experienced. He performed Angioplasty for three blockages in an hour without compromising with the treatment. Also, I was kept informed of the progress at regular intervals, so OT was not a black box for me.3. He's very Calm. He had as many conversations as and when I had to answer my queries.4. Friendly and understanding. He's very cooperative and helpful. In fact he reprioritized his schedule to accommodate my father's treatment understanding the severity.I'll recommend Dr. Sridhar Das if you're looking for a cardiologist."", ""Visited For Carotid Angioplasty And StentingI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeI've been consulting Dr. Srihari Das close to 10yrs now for my father.My dad always comes out with a satisfied feeling, after finishing our periodical follow-up checkup with Dr. Srihari Das. That's mainly due to the way he listens to my dad's queries, the way he explains his diagnosis and the possible life-style adaptations to address the problem before straight away suggesting any procedures, medications or other treatments, brings in a lot of calmness.Its been a wonderful journey so far to me and my dad.Personally I would say, I found a big brother in him than just a good cardiologist."", 'Visited For Heart CareI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfaction2 minutes agoI have consulted many cardio doctors in top hospitals in Bangalore. Dr. Srihari is easily the best and I would strongly recommend those in need of medical attention (pertaining to heart) to consult him. His approach to his patients, the positive vibes he provides, clear diagnosis, detailed explanation of precautions to take and lifestyle changes to follow, etc. are all that one needs when they meet a cardiologist. Whenever I have visited him, I get calm the minute I meet him and our casual talks just ease me. ** ** *** ** *** **** ******* ******* Thumbs up, to you doctor', 'Visited For Electrocardiography (ECG)I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr. K P Srihari Das is by far, the kindest, nicest doctor I have ever met in Bangalore.He spends good deal of time to put you at ease and never in a hurry. He tries to understand the underlying problem *** ****** ** ******** ********** An accomplished cardiologist and above all a good human being. No unnecessary test, providing the correct recommendations to a patient and referral to another specialist if needed. Thank you doctor. It was my great fortune that I met you just when I needed the most. Regds, Sandeep', ""I recommend the doctorDr Srihari Das is an extremely competent cardiologist and a gem of a person. My father is 74 years and has been taking cardio related medicines for past ~10 years. He developed some swelling in his feet and shortness of breath while climbing up an incline. We went to Dr. Srihari Das at Narayana Multispecialty Hospital, HSR and I was positively surprised (and comforted) by his thorough professionalism and truly caring attitude. He checked thoroughly, asked good questions, listened really well (most doctors don't) and gave only minimum medication *** ** *********** ********** ****** I even mentioned doing Angiography but he told us clearly it was not required.I and my father were really comforted by his attitude of helping us (rather than helping the hospital at our cost - like most hospitals). Highly recommended!"", ""Visited For Heart ConditionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionMy first approach at HSR Layout of NH gave me a great confidence that I was in the hands of God, though subsequent tests confirmed no heart ailment. He had not just left me and referred me to a pulmonologist @ NH, Chandapura suspecting lung ailment. His timely suggestion makes me alive after going through a tough / critical lung decortication, since August 2016. Now under treatment with him since Sep' 2018 for hypertension. He never suggests inappropriate tests and medicines and promptly respond even in an emergency without any hesitation. May God Bless him and his family with all goodness""]"
