,name,qualification,specialization,clinic_address,timing_days,timing_session,review_score,consultation_fee,current_url,feedbacks

0,Dr. Neeraj Pasricha,"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)","AYUSHHomoeopath
40 Years Experience Overall","51/7, Jwala Heri Market, Landmark: Behind Kumar Sweets & Near Mahavir Crockery, Delhi","Mon - Tue, Fri - Sat",01:30 PM - 06:00 PM,93% (267 votes),₹1000,https://www.practo.com/delhi/doctor/dr-neeraj-pasricha-1-homeopath?practice_id=703043&specialization=Homoeopath&referrer=doctor_listing,"[""Visited For Cough TreatmentI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionI went to Dr Pasricha through some reference & after only first visit I realised that this Doc has huge medical knowledge . Dr Pasricha has versatile knowledge n is so friendly that he makes his patients very comfortable sharing their problems.I went for cough treatment which was not going from so long,I underwent all kind of medication (Elopethic, Ayurvedic,Home remedies etc) but wasn't getting relief but Dr. Pasricha caught the root cause n started treating me.Trust me results r amazing,my cough is cured and I am at happy spaceI personally recommend him if u want to get rid off ur medical issues quickly & permanently.Neelam Singh Vij,New Delhi.Dr. Neeraj Pasricha repliedThank you Neelam Singh Vij for your honest & wonderful recommendation. Your kind words are the motivation for us to update our knowledge to provide the best treatment for all our patients. Wishing you and your family a speedy recovery. TEAM, PASRICHA HOMEOCARE CLINICS"", 'I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionMy nane is chetan rana dr neeraj Such a very good doctor and understand the pattern of the pattern well and my treatment was now 2 months ago, which I felt with a very good result. But because of a condition, he was left over to the middle, so can I regularly do it?Dr. Neeraj Pasricha repliedThanks Chetan Rana for your recommendation. Why did you discontinue the treatment when it was working for you. Yes you can restart the treatment anytime you feel comfortable. Wishing you a speedy recovery. Team: Pasricha Homeocare Clinics', ""I recommend the doctorI am a Type 1 Diabetic patient and insulin dependent from last 15yrs.. Fortunately, I recently met Doc Pascricha & I am facing great improvements in my health as Diabetes is something that harms your body parts like eyes, kidney, liver, heart etc. During the consultation, he not only asked me questions regarding sugar control but went into the details of my lifestyle and then prescribed the medicine. I love the confidence that he carries with him as that even motivates the patient and eventually improves your health as one should be positive to have a positive result. He never lets you loose the HOPE of improving and over coming the problem.He gives time patiently and listens to the patient as well with complete calmness, unlike certain doctors who only wants to make money and not cure the problem of the patient.I would recommend him to all my friends and family!Lastly I want to mention that my insulin dosages have decreased and i have started feeling more healthier and energetic!Thank you Dr. Neeraj Pascricha...Dr. Neeraj Pasricha repliedIt's great feeling to get such a wonderful and detailed feedback. A big thank you. We are open to suggestions also to improve our services. Regards Team Pasricha Homeo Care Clinics."", 'I recommend the doctorHappy with: Treatment satisfactionI truly admire his friendly nature n understanding of the emotional trauma thru which the patient s going during his / her physical suffering .I also appreciate his intelligence n deep knowledge...of the every aspect of physical n mental prob of mine ..Earlier i was taking lots of painkillers ,, but my sciatica pain was not going despite all allopathy treatment..but when i consulted Dr Neeraj , u will not believe , his medicines proved to be magical in reducing my pain within 24 hours of taking the medicine ...after taking the medicine for few months , my gluteal muscles also strengthen up n sciatic pain s almost neglible now...For vertigo too the treatment is going on , and m feeling much better now .Truly greatful to Almighty ! Who showed me the path of consulting Dr Neeraj ....Dr. Neeraj Pasricha repliedGod bless you Sangeeta Sethi for your detailed, heart warming feedback. We try to do this for each & every patient. Wishing you complete & speedy recovery. TEAM PASRICHA HOMEOCARE CLINICS', 'Visited For High Blood PressureCough TreatmentI do not recommend the doctorHoped for better: Explanation of the health issueTreatment satisfactionValue for money** ********* ** *** ****** ** ***** ******** ******* ** *********** ** *** **** **** ****** ** my mother ** ****** *** ***** ** ****** ** ********** She was a thyroid and diabetic patient when we had come to him, *** ***** *** ********** *** * ***** ********* *** ****** *** **** * ***** ********From past three months my mother has been complaining about breathing and chronic dry cough issues and he kept saying us by saying these are after covid issues. She has a blockage in heart, fluid in lungs and stones in gall bladder. Whenever we said we should get the tests done, he said "" Kya Jaldi hai test karane ki"".And this is not the end, he told me to give my mother alprax which is not available until a doctor prescribed, why because she has not slept from past three days *** ****** ************* ****** ***** ** ********* *********** My mother was swollen like a football after waking up from sleep and after that, this doctor didn\'t pick my call and neither felt like calling back when he knew his patient wasn\'t well.This is an awareness message, please don\'t go to him ** *** **** ******** ******** ** ** **** **** ******* *** ***** *** **** ****** *** **** * *** ******* ** ****** ** **** ******* *** *********** HE ISMy mother has been consulting with him for over 2 years *** **** ** **** ** *** **** ** **** *** ******* *** ****** *** ** **** *** ** ***** ****** *** ******* *** ***** ******I know what my condition is right now and what my mother is going through. Just hope that nobody goes thru this ******* ** * ****** ********** **** ** ******** ******* **** **** * ******** ******** ******** *** ******* *** *** ***** ******* ** ** ****** ***Dr. Neeraj Pasricha repliedNamaskar Roshni. I\'m really sorry to hear about your mother\'s health. HOPE YOUR MOTHER IS BETTER NOW. I can recollect that your mother was consulting me & she had improved considerably. • During the lockdown, treatment was discontinued. • After she had Covid infection, she developed POST COVID complications ie. Persistent Cough & Severe Hypertension & had consulted a senior Cardiac Specialist in Fortis Hospital, Vasant Kunj. • He got the tests done & prescribed strong doses of Allopathic medication BUT TO NO AVAIL. • Ultimately she consulted me & HOMEOPATHIC TREATMENT helped her again. • You have been calling me from Mumbai and every time I answered have the phone regarding your own health issues. • You called me late in the evening for your mother after 9.40 pm & I still answered. • You asked me to prescribe some medicine for your mother who had sleeping problems. • As the Homeo Pharmacies had closed for the day, you requested me to give some medicine & at that moment I suggested Tab. Alprax 0.5 mg Sos. • The Cardiac Specialist in Fortis Hospital - Vasant Kunj who had done a few tests, did he at that time confirm the Heart problem.?? • There are so many unexplained Post Covid conditions which the Medical fraternity is witnessing including unexplained Htn, heart problems & respiratory issues. • Heart problems get precipitated because of agitated mental state & not because of Homeopathic treatment. WISHING YOUR MOTHER A SPEEDY RECOVERY.', 'Visited For Homeopathic TreatmentsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionWait timeDisease diagnosis process is well.started medicine from today.if i get relief with in a few days ,i will definitely give feedback .', ""Visited For menstrualI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionDoctor take good amount of time to listen to your issues and medications brings changes which you can observe. We feel our body healing. I am really thankful to him for being available in case of emergency and being there for his patients.Dr. Neeraj Pasricha repliedThank you MANISHA for your wonderful recommendation & kind words. It's our endeavour to provide best possible & Safe Homeopathic treatment to help our patients recover rapidly, gently, permanently. Wishing you a complete & speedy recovery. Warm regards TEAM - PASRICHA HOMEOCARE CLINICS"", ""I recommend the doctorHappy with: Treatment satisfactionDoctor friendlinessExplanation of the health issueI was suffering from atopic dermatitis since birth and had tried both allopathic and Ayurvedic treatment but to no avail, it gradually got worse and transformed into psoriasis. During the first consultation doctor pinpointed the reasons for the severe condition and suggested suitable measures, within the first week of taking the medication we saw results and the condition is rapidly improving. I am very satisfied with the treatment so far.The doctor is very patient and understanding, he is extremely sympathetic to the patient's condition and very cooperative. He gives adequate amount of time to the patient so that he/she may explain his/her problem.Dr. Neeraj Pasricha repliedThanks Mudit for your wonderful recommendation. I'm so happy for you that I could help & you started responding early. Such write-ups spur us to provide tailor made treatment for each case that has been labelled as chronic, incurable diseases by the modern medicine. Wishing you a speedy recovery. TEAM- PASRICHA HOMEOCARE CLINICS"", ""I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeI was troubled by enlarge prostate and visited one of the renowned hospital in Faridabad where Dr recommended me to under go for surgery. I discussed with one of my friend and on his recommendation I visited Dr Neeraj Pasricha. After going through my reports he assured me that surgery is not required at all and 2 week medication was given by Dr Neeraj. After completing 14 days medication I am feeling quite good. I highly recommend Dr Neeraj Pasricha for his remarkable observations, medicines and friendly approch.Dr. Neeraj Pasricha repliedThanks Narendra Singh for your glowing recommendation. It's our passion to treat each patient with a tailor made treatment to help them recover faster mostly without surgical intervention. Wishing you a complete & speedy recovery. Team- Pasricha Homeocare Clinics"", 'Visited For SPINE DISORDERSHomeopathic TreatmentsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeIf I could give 5000 stars, I would. I visited Dr. Neeraj Pasricha for Limb-Girdle Muscular Dystrophy a progressive disorder that will put you to bed by age 30 and has no cure in medical science anywhere in the world. It has been a month since I am taking his medicine and I have already started feeling improvements in my condition. I can raise my arms overhead again and climb stairs with lesser effort. He is incredible. Not only has he is taking great care of my health, but also he is very friendly to speak with at every appointment. It’s rare to find a doctor that combines such personal touches and care for a patient as a person with an outstanding quality of medical care. I highly recommend becoming his patient!Dr. Neeraj Pasricha repliedThanks AKASH Garg for your fantastic words. The diagnosis in your case is LIMB GIRDLE MUSCULAR DYSTROPHY which is a progressive disease. Homeopathy routinely cures so called INCURABLE DISEASES as labelled by the Allopathic treatment. These are called MIRACLES with HOMEOPATHY & we get such results day in - day out in most of the cases. Wishing you a complete & speedy recovery. TEAM PASRICHA HOMEOCARE CLINICS']"

1,Dr. Sunil Kumar Dwivedi,"MD - Homeopathy, BHMS","AYUSHHomoeopath
17 Years Experience Overall","150, 169, 1st Floor, Vardhman City Mall, Landmark: Near Ramphal Chock, Delhi","Mon - Tue, Thu - Sun","10:00 AM - 02:00 PM
05:00 PM - 09:00 PM",94% (247 votes),₹400,https://www.practo.com/delhi/doctor/dr-sunil-kumar-dwivedi-homeopath?practice_id=654411&specialization=Homoeopath&referrer=doctor_listing,"['Visited For Skin infectionsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueWait timeDoctor is honest and a true counselor . I could share all my problems regarding hair fall and moles on face and got satisfied answers.', 'Visited For Allergic RhinitisI recommend the doctorDoctor is knowledgeable behaviour is good take a proper time appointment system is also very good staff is also carriying', 'Visited For ConsultantI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeDr.Sunil is very humble and discuss health related issues in detail which satisfies most of the queries raised. One gets confidence after discussing with him. Wish him all the success in his field.This is Narender GeraDr. Sunil Kumar Dwivedi repliedThanks a lot', 'I recommend the doctorMy son was suffering from recurrent cough and cold always when symptoms is come than doctor give antibiotics than I came homoeopathy when I came first time in Dr clinic Dr advice me to only medication given according to symptoms it not cure he advice you and done x ray PNS than I give you medicine after report is come sinus is positive than Dr give according to proper diagnosis and start treatment my son was improved day by day Dr is so good good experience gods knowledge I am very happy to Dr dwivedi he is good doctor', 'Video consultation done For Pigmented SkinI do not recommend the doctorHoped for better: Treatment satisfactionvery unprofessional, I book appointment,He sent test detailsI gave test results after that he did not send any medicine prescription, I asked 100 but no reply.He only says will send prescription, but never send prescription of medicine.i would not recommend him', 'I recommend the doctorMy son was sufferings from neurological problems doctor told its not cure only you treated by physiotherapy but after taking physiotherapy there is no improvement than my friend told me about Dr sunil but I am not came but I think if allopathic doctor give response negative than how to help homoeopathy but my friend persistent told and push me to at least only one time you than I came Dr sunil clinic they give me 15 days medicine and another after 15 days medicine merically my son leg improved 50% only one month medicine than my believe is so strong thank a lot Dr sunil he is very goog doctor for me and Dr nature is so so so good', 'I do not recommend the doctorHoped for better: Value for moneyI have been taking medicines from past 15 days and there is no sign of improvement. I have seen and experienced homeopathic medicines work really good in couple of dosage. The whole package of meds including consultation costed me around 1000+. Its my worst experience with homeopath.Dr. Sunil Kumar Dwivedi repliedKshitiz if your problems is persistent than you call me before going any decision your problem is cost of medicine or treatment thanks for your lovely feedback you always welcome in my clinic', ""I recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionI was very pleased with my experience at doctor's careU made me feel that I was in safe handI visited many doctors BT I can't got instantly improvement which I get from uThanks u so much sirI hope I get ride of my skin problem very soonI trust u ..Dr. Sunil Kumar Dwivedi repliedThanks a lot"", 'Visited For Acidity TreatmentI recommend the doctorHappy with: Treatment satisfaction********* ******* ** ** *** ** *** ****** ***** ******* ****** ******* *** ********* *** ********* ** ** ****** *** ************* The behaviour of his staff is also excellent. The best thing is he is available on sundays too hence convenient for all.Dr. Sunil Kumar Dwivedi repliedThanks a lot', 'Visited For Herpes InfectionsI recommend the doctorI am suffering from herpes infection my doctors in army hospital they tell me its is not cure you take life time some medicines after I try homoeopathy I came Dr sunil clinic and after 6 month medication my problem is 99% reduced I am very happy Dr good']"

2,Dr. Geetika Bansal,BHMS,"AYUSHHomoeopath
24 Years Experience Overall","DDA, Shop Number -1, Sector-2, Landmark: Near Vardhaman Plaza & Power House, Delhi",Tue - Fri,08:00 AM - 02:30 PM,83% (24 votes),₹500,https://www.practo.com/delhi/doctor/dr-geetika-bansal-homeopath?practice_id=706093&specialization=Homoeopath&referrer=doctor_listing,"[""I recommend the doctorHi,I am from Delhi itself but right now in Dubai for 10 years, we frequently visit India for an annual vacation. I am suffering from ovarian desease for 2 years I have tried all the recommended medicine **** ********* ** ******** ********** *** ******* ***** *** ****one day suddenly it just clicks on my mind to try homeaopathy and I searched on google, I found Dr.Geetika's clinic I visited her personally {thank god for covid we stuck in India for long months}frankly telling you in the first two weeks I was worried but as soon as I completed my 1-month medicine course i really felt lots of changes, my Scan reports were getting normal which was a miracle, Dr. Geetika is full of spark plus she always gives you positive energy with her positive smiles. now I have to complete a 3-month medicine course and I am pretty sure I will be fine this time.Dr.Geetika is always available over WhatsApp so if any issue comes she advised me via msg.I am really thankful to Dr.Geetika for great guidance.Kind Regards AkankshaDr. Geetika Bansal repliedThanks for believing in Homeopathy and opting our clinic to serve you."", 'I recommend the doctorI live in USA. I’d this chronic problem in my abdominal area, for which I was trying to get cure. I have seen so many doctors - allopathic, ayurvedic and even homeopathic. My money and time all went in vain. But I didn’t give up. Luckily I had this app - practo. I was searching for the same problem. It was then I saw comments from Dr. Geetika. Out of curiosity, I read full comments. Something struck in my mind and I thought of consulting her. This time, I found the right doctor. It was in chat, I explained my issue. She came up with remedy (homeopathic medicine) for me. After 1 week of treatment, I started getting better. And now I’m very comfortable, though still recovering. I also have another issue that I’m consulting her. She’s always available for her patients. She’s polite and spot on. After the covid settles, I’m planning to visit Delhi, to meet her personally and thank her. I’ll continue to consult her. Thanks doctor for keeping my faith in homeopathy, which I almost lost.P.S. My pilonidal cyst is better now as well.', 'Visited For Homeopathic TreatmentsI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for moneyWait timeWe are extremely satisfied with the treatment of Dr. Geetika Bansal. She gives proper attention to the every patient.', 'Visited For AlopeciaI recommend the doctorHappy with: Doctor friendlinessExplanation of the health issueTreatment satisfactionValue for money*** ** * **** **** ****** *** within 2 weeks my issues have been resolved.Excellent experience.I recommend to all.', ""I recommend the doctorI consulted this doctor and she Looked fine to me but only concern is the charge that she took . Instead of 100 rs , she charged rs 500 which was unexpected. ** *** ** *** ****** **** ** **** *********Dr. Geetika Bansal repliedConsultation doesn't include medicine. Medicine charges vary according to issues. I have tried to rectify my consultation charges and have sent mails to practo. They haven't addressed it. Even today I am unable to change my charges at my end. Practo kindly look into it. I am unable to make any changes in my profile""]"

3,Dr. Raj Kumar Bajpai,BMS(H),"AYUSHHomoeopath
50 Years Experience Overall","Flat Number 121, Pocket 3, Akashradham Apartment, Sector 19, Delhi",Tue - Fri,"11:30 AM - 02:00 PM
04:00 PM - 06:00 PM",91% (11 votes),₹700,https://www.practo.com/delhi/doctor/dr-raj-kumar-bajpai?practice_id=1276505&specialization=Homoeopath&referrer=doctor_listing,"[""I recommend the doctorHe's superb Dr. N first of all he's very good human being.I visited him for my son.He was not keeping well.But now i can see tremendous change in him.He has recovered 90 percent.I m really happy.. Thankyou so much Dr. For being wonderful..Dr. Raj Kumar Bajpai repliedThank you. We are happy to help you."", 'I recommend the doctorIn one word I would say Dr. RK Bajpai is just superb.My father is an epilepsy patient and undergoing treatment from Dr. Bajpai from the last 1 year. Thanks to his rich and vast experience he is really ************* *** humble. He treats patients with great care and is curious to know each and every detail about the disease to treat his patients in the best way possible.He made me believe that even homeopathy is capable of controlling epilepsy seizures. I can see a lot of visible improvements in my father in the past 1 year.I would definitely recommend Dr. Bajpai to anyone.Dr. Raj Kumar Bajpai repliedHappy to help you.', 'I recommend the doctor*** *** * **** **** ******* *** recognizes the disease and eliminates it from the root, your formula in homeopathic gives amazing benefits.Dr. Raj Kumar Bajpai repliedThankyou', 'I do not recommend the doctorWhen we reached doctor left the clinic and someone else was doing his job, which I was surprised. No prescription no proper bill , though we paid amount ***** ** ****** *** **********Dr. Raj Kumar Bajpai repliedWe are sorry for your experience. Dr. Attended you and left for an emergency, other person is assisting junior dr. Prescription and bills are always available on demand as we prepare the combination of medicines and if patients ask we always provide that. If you want you will receive your prescription online as well.. Rates for medicines starts with 50/- per day to 90/- per day depends on the potency of medicines.', 'I recommend the doctorExperience was amazing ,he is very **** ****** ** **** ** humble person ,,listen all queries of patient and give right solutions to them', 'I recommend the doctorI have been visiting Dr Bajpai since past 16 months for my Son’s skin problems. It has worked wonders for him and his diagnosis is so accurate. His treatment , time to time follow up is worth appreciating. I must thank Dr Bajpai for his way of interacting with his patients and understanding the problems to the core.Dr. Raj Kumar Bajpai repliedThank you so much. Happy to help you', 'I recommend the doctorI have started my first medication from Dr Bajpayee in 2020 when I was covid positive.. All my covid treatment was done by Doctor Bajpayee. Where all the symptoms I had were very painful with so many of my test reports out of range. He brought back my tests in range and relieved me out severe pain. My words will always fall short to thank him . Since then he has become our family doctor. Will always be greatful to him.Dr. Raj Kumar Bajpai repliedThank you for your feedback.', 'I recommend the doctorGreat Doctor, Listen your problem with utmost care and provide consultation accordingly.Thank you for the support.', 'I recommend the doctorMy experience has been quite good. I got some relief and am expecting further improvement in coming days.']"

4,Dr. Kapil Chawla,BHMS,"AYUSHHomoeopath
26 Years Experience Overall","2nd Floor. 1B, Metro Tower, Pusa Road, Near Karol Bagh metro station, Landmark: Opp Metro pillar no 106, Delhi",Mon - Fri,11:00 AM - 08:00 PM,,₹450,https://www.practo.com/delhi/doctor/dr-kapil-chawla-homoeopath?practice_id=1026779&specialization=Homoeopath&referrer=doctor_listing,"['I recommend the doctorI met him initially before a month. I got a completely satisfied consultation with him. He was very friendly while discussing the issues. Along with the suitable treatment, he guided me very well. I am happy with the outcome.', ""Visited For Homeopathic TreatmentsI recommend the doctorHappy with: Treatment satisfactionMedicine is very costly and is giving package of medicineThis is not rightYou could take cost of medicine please don't give package3,6,12 month"", ""Visited For Allergic RhinitisI do not recommend the doctorHoped for better: Value for money** ** **** ********** ** ****** ***** After talking send his female receptionist to talk about various medicine packages.* **** ******* **** *********** ****** ******* *** **** *** *********** *** ******** ********* Instead of giving relief he insisted only on taking his one year package. Didn't like it at all."", 'Visited For Skin Specialist through HomoeopathyI do not recommend the doctorHoped for better: Explanation of the health issueTreatment satisfactionValue for money']"
